relpath,sha256_passA,sha256_passB,sha256_copy,git_blob_nofilter,size_bytes,object_db_main_repo,object_db_copy_repo,any_known_ref,relation_label,relation_evidence
algo/_shared/pilot/mfr/__init__.py,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,0,PRESENT(e69de29b),NOT_CHECKED,NO_REF,NO_VERIFIABLE_HISTORY_MATCH,"empty file; hash generic; cannot attribute"
algo/_shared/pilot/mfr/jammer_trainer.py,8d81d9886d3129c405a950717b01deffea0266b5444026abe1f24c52fecbfe8e,8d81d9886d3129c405a950717b01deffea0266b5444026abe1f24c52fecbfe8e,8d81d9886d3129c405a950717b01deffea0266b5444026abe1f24c52fecbfe8e,e144ab2d3e9d74fb5046ee7d6566448515079ca8,12907,ABSENT,ABSENT,NO_REF,NO_VERIFIABLE_HISTORY_MATCH,"blob hash absent from both object dbs; never staged"
algo/_shared/pilot/mfr/league_eval.py,62ef159e6c0904645fe2babbd58dd57186fb1b9fc828bf267732e9d5baba5872,62ef159e6c0904645fe2babbd58dd57186fb1b9fc828bf267732e9d5baba5872,62ef159e6c0904645fe2babbd58dd57186fb1b9fc828bf267732e9d5baba5872,ce801116ca2b195f060b7aa3a5f3b1018a15a6bf,7784,ABSENT,ABSENT,NO_REF,NO_VERIFIABLE_HISTORY_MATCH,"blob hash absent; never staged"
algo/_shared/pilot/mfr/mappo_trainer.py,e4509a3d7deebad54c03d508df8a0849682a60127d821079c08c5b6444f28ce7,e4509a3d7deebad54c03d508df8a0849682a60127d821079c08c5b6444f28ce7,e4509a3d7deebad54c03d508df8a0849682a60127d821079c08c5b6444f28ce7,a7d953b9219d25b3299400ce0681efcf90838d7e,12107,ABSENT,ABSENT,NO_REF,NO_VERIFIABLE_HISTORY_MATCH,"blob hash absent; never staged"
algo/_shared/pilot/mfr/random_scheduler.py,a58f2a954b90905a5a42e21704b8effb5731edd637633efe7648c897f073f157,a58f2a954b90905a5a42e21704b8effb5731edd637633efe7648c897f073f157,a58f2a954b90905a5a42e21704b8effb5731edd637633efe7648c897f073f157,5429c3be9ce447daa545ac44bb150a3a647bc5ac,1087,ABSENT,ABSENT,NO_REF,NO_VERIFIABLE_HISTORY_MATCH,"blob hash absent; never staged"
algo/_shared/pilot/mfr/rule_scheduler.py,0654a8605b45efbfb56edbac533e160033aea0c2bca1e813b9abc43e4d1c8bd9,0654a8605b45efbfb56edbac533e160033aea0c2bca1e813b9abc43e4d1c8bd9,0654a8605b45efbfb56edbac533e160033aea0c2bca1e813b9abc43e4d1c8bd9,a69e8ef08065f8e55d69f5cbac80057a3c4ef9a9,10099,ABSENT,ABSENT,NO_REF,NO_VERIFIABLE_HISTORY_MATCH,"blob hash absent; never staged"
algo/_shared/pilot/mfr/run_stage_a.py,102c36f3a96e739a0348fca3ee1778a0103b926e3c2e4654559908252cc35d04,102c36f3a96e739a0348fca3ee1778a0103b926e3c2e4654559908252cc35d04,102c36f3a96e739a0348fca3ee1778a0103b926e3c2e4654559908252cc35d04,cae0f837f8307eeae3e8a915678fa72715cc42c4,3596,ABSENT,ABSENT,NO_REF,NO_VERIFIABLE_HISTORY_MATCH,"blob hash absent; never staged"
algo/_shared/pilot/mfr/run_stage_b.py,642197a963670477f15e371e46cc7bc75711d57b75f66134452328df44472ad1,642197a963670477f15e371e46cc7bc75711d57b75f66134452328df44472ad1,642197a963670477f15e371e46cc7bc75711d57b75f66134452328df44472ad1,4d883ebd8d51d74b41634709adb039eae6c07df8,3892,ABSENT,ABSENT,NO_REF,NO_VERIFIABLE_HISTORY_MATCH,"blob hash absent; never staged"
algo/_shared/pilot/mfr/run_stage_b_jammer.py,234ba8462f06c76e05f1f526b2f694085d5c63b08020d49905fe317984b2b1d5,234ba8462f06c76e05f1f526b2f694085d5c63b08020d49905fe317984b2b1d5,234ba8462f06c76e05f1f526b2f694085d5c63b08020d49905fe317984b2b1d5,9679c5b3ff3b48e3a338f05babbf17245104a4df,2292,ABSENT,ABSENT,NO_REF,NO_VERIFIABLE_HISTORY_MATCH,"blob hash absent; never staged"
env/gpu/mfr/__init__.py,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,0,PRESENT(e69de29b),NOT_CHECKED,NO_REF,NO_VERIFIABLE_HISTORY_MATCH,"empty file; hash generic; cannot attribute"
